Scenario,Algorithm,run,HV,IGD+,runtime_s,evaluations,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
ObstacleAvoidance_Hard,nsga2,5,0.561323913476258,0.35811903964029,34.82776109990664,4860.0,293.168624301441,4648.0,286.64378439914435,1467.0,97.77437305310417,1664.0,3197.0,4861.0,0.3423163958033327
ObstacleAvoidance_Hard,nsga2,6,0.5549330842580543,0.36019548121483025,38.4592911999207,4860.0,322.5244715998415,4673.0,314.23055709851906,1576.0,97.4284386979439,1747.0,3114.0,4861.0,0.3593910717959268
ObstacleAvoidance_Hard,nsga2,7,0.5634214999199504,0.35751860876165115,37.77542449999601,4860.0,307.5067996047437,4693.0,299.2131059989333,1538.0,97.30292350722951,1686.0,3175.0,4861.0,0.3468422135363094
ObstacleAvoidance_Hard,nsga2,8,0.562988554665298,0.35769103769442034,37.3944900999777,4860.0,314.0080621019006,4678.0,306.0687824985944,1559.0,97.47163192239002,1672.0,3189.0,4861.0,0.3439621477062333
ObstacleAvoidance_Hard,nsga2,9,0.5634331085610838,0.35751762489982725,38.27133430005051,4860.0,317.304206800065,4685.0,308.7269543998409,1552.0,97.29683621697815,1691.0,3170.0,4861.0,0.3478708084756223
ObstacleAvoidance_Hard,sms-emoa,0,0.5635536346300105,0.35747732348267275,35.924346199957654,4860.0,308.02180839760695,4675.0,297.91941800003406,1520.0,96.72023534628032,1680.0,3181.0,4861.0,0.3456078996091339
ObstacleAvoidance_Hard,sms-emoa,1,0.562463086223502,0.3577860524814773,35.5732166999951,4860.0,306.35035930376034,4629.0,298.32628179865424,1513.0,97.38075139740579,1720.0,3141.0,4861.0,0.3538366591236371
ObstacleAvoidance_Hard,sms-emoa,2,0.561084707519891,0.3582437191621052,36.12952989991754,4860.0,301.3655203952221,4684.0,293.29670359787997,1513.0,97.32258130035567,1662.0,3199.0,4861.0,0.3419049578276075
ObstacleAvoidance_Hard,sms-emoa,3,0.5632986216877846,0.35760469304265724,38.09142780001275,4860.0,317.38788079773076,4685.0,308.18025439651683,1567.0,97.09893573186498,1725.0,3136.0,4861.0,0.35486525406295
ObstacleAvoidance_Hard,sms-emoa,4,0.5628271138696178,0.3577310962716586,35.53553190000821,4860.0,301.5580696994439,4688.0,293.7362510012463,1505.0,97.406198180671,1665.0,3196.0,4861.0,0.3425221147911952
ObstacleAvoidance_Hard,sms-emoa,5,0.5630402590786405,0.3576281637125813,38.684009900083765,4860.0,318.7155642976286,4669.0,309.60932799917646,1579.0,97.14283288344576,1745.0,3116.0,4861.0,0.3589796338202016
ObstacleAvoidance_Hard,sms-emoa,6,0.5635656896717626,0.3574739678445433,36.1736060999101,4860.0,310.9175466954475,4661.0,302.1245058006607,1540.0,97.17190586757079,1723.0,3138.0,4861.0,0.35445381608722487
ObstacleAvoidance_Hard,sms-emoa,7,0.5629880895469833,0.35763691537287334,36.053254000027664,4860.0,300.7010261035757,4670.0,292.9194974025013,1514.0,97.4122041411345,1669.0,3192.0,4861.0,0.3433449907426456
ObstacleAvoidance_Hard,sms-emoa,8,0.5598400254487247,0.3585691933632418,38.23509760003071,4860.0,317.75051370065194,4666.0,308.7752922970103,1561.0,97.17538728761991,1718.0,3143.0,4861.0,0.35342522114791197
ObstacleAvoidance_Hard,sms-emoa,9,0.5632586321929771,0.35773866156626355,38.91103989991825,4860.0,329.0627518018009,4662.0,318.99485249852296,1615.0,96.9404318027031,1783.0,3078.0,4861.0,0.36679695535897966
ObstacleAvoidance_Hard,qehvi,0,0.5636539003601243,0.3574494509072319,15.514893100014888,39.0,3.5946623999625444,46.0,3.558723599766381,46.0,99.0002176505772,40.0,11.0,51.0,0.7843137254901961
ObstacleAvoidance_Hard,qehvi,1,0.5636539003601243,0.3574494509072319,17.13809540006332,46.0,3.4057067001704127,49.0,3.367693000007421,49.0,98.88382343197405,47.0,2.0,49.0,0.9591836734693877
ObstacleAvoidance_Hard,qehvi,2,0.5636539003601243,0.3574494509072319,13.768514499999583,38.0,3.439289899659343,49.0,3.4025320997461677,49.0,98.9312386863109,39.0,13.0,52.0,0.75
ObstacleAvoidance_Hard,qehvi,3,0.5636539003601243,0.3574494509072319,14.461065100040287,44.0,3.699402600293979,53.0,3.6583481000270694,53.0,98.89023973050007,45.0,8.0,53.0,0.8490566037735849
