Algorithm,Generation,median,q1,q3
moead,4,0.08168915607659662,0.04993485030640274,0.19448499515693646
moead,5,0.08856637437889628,0.049940251429203476,0.19699562401787418
moead,6,0.0903252363319999,0.050486502138896404,0.19400335201223354
moead,7,0.09377353638822447,0.05367574483710998,0.19707147079543288
moead,8,0.09710784254358398,0.05389548921189957,0.19927481761319793
moead,9,0.08962936917341935,0.05278910294738984,0.1990222477139802
moead,10,0.08967737115683493,0.05717511656620629,0.2001154330000815
moead,11,0.09033947777576973,0.054809899371671834,0.2023410639314961
moead,12,0.09099807459831821,0.050341870487938464,0.1973587933003425
moead,13,0.09102230579036194,0.05386337414450215,0.20323192026153408
moead,14,0.08976910390305298,0.04962516247416238,0.21365790929375927
moead,15,0.09111947317726649,0.04929526207737305,0.2084957653762103
moead,16,0.08709810447848938,0.05453877385724073,0.21656438361688066
moead,17,0.08647552686224055,0.05816274847844783,0.21079577839038782
moead,18,0.08592918085489942,0.048258773004938055,0.19745788498995878
moead,19,0.08765773777431143,0.06176056976909795,0.19428342591744752
moead,20,0.08462943684033652,0.04848880371207767,0.18950660733382857
moead,21,0.08666856025646806,0.0575447599641201,0.19028996549915259
moead,22,0.09321497205548039,0.06286167147205074,0.19712831144865117
moead,23,0.09377708725216288,0.06295489630832479,0.20221896264770528
moead,24,0.09627597520720824,0.06148191527223859,0.19978055341449827
moead,25,0.0999258292944509,0.07161847543696324,0.21062671396226695
moead,26,0.1041463016300014,0.07272470130959037,0.1976950352219503
moead,27,0.10326044198432321,0.07295990655299868,0.19933981719871374
moead,28,0.106739271793423,0.07666059377704182,0.20237324122027162
moead,29,0.10751590419476043,0.07648657755250049,0.20902716837821378
moead,30,0.1073257272942334,0.07326659732505819,0.20914151685038126
moead,31,0.10784240351371421,0.06970613599868977,0.21186436374763667
moead,32,0.10930818477841367,0.07821138234771388,0.21855696199908245
moead,33,0.10933423305635677,0.0803640532765761,0.21863209097048325
moead,34,0.11093589706773861,0.08043730323820562,0.22082081110720542
moead,35,0.11116691140879267,0.07974976101172954,0.22473441899498098
moead,36,0.11153296270842186,0.08180297956659369,0.2612174493980096
moead,37,0.11208234688706853,0.0828963273376293,0.2871508287689513
moead,38,0.11167992711153252,0.08216808308757823,0.26852494551813416
moead,39,0.11199381300281985,0.08063781310345586,0.27830126157887847
moead,40,0.11191643159020981,0.08196074240348793,0.3250453571306263
moead,41,0.11251462524209566,0.08294596686247287,0.34382360518682575
moead,42,0.11272307213263033,0.07668885469433853,0.30846819884053406
moead,43,0.11250362580125839,0.07627870448021573,0.28996657454655916
moead,44,0.11266710636165711,0.07583476424020555,0.2675771277475828
moead,45,0.11297106841986893,0.08694026942353883,0.3268081039035365
moead,46,0.11323443364670949,0.086951301756992,0.3458166799803274
moead,47,0.11326777198079296,0.08775381307974225,0.3693204247206301
moead,48,0.11326777198079296,0.09214033069138113,0.37688875316763043
moead,49,0.1132794410645851,0.09238675487398915,0.3769672947616395
moead,50,0.11328444170350127,0.09088101317550366,0.36142426108032855
moead,51,0.11331444381479394,0.09159698206107977,0.36994236080941634
moead,52,0.1133277775925865,0.0940040686036612,0.3760317983880098
moead,53,0.11324888518500253,0.0931036883653287,0.3681424572279407
moead,54,0.11330888807404693,0.09352944841742865,0.3681785530281707
moead,55,0.11331166599071907,0.09336053401000854,0.3554762195436698
moead,56,0.1133144439073912,0.09404443235320081,0.3561065417045544
moead,57,0.11331722173146608,0.09413325903823719,0.3568832017167336
moead,58,0.11333333333333351,0.09482532348213402,0.3590219355637797
moead,59,0.11333333333333351,0.09486712780846007,0.3662849965594796
moead,60,0.11333333333333351,0.09494148421366749,0.3663460462212703
moead,61,0.11333333333333351,0.09495392661040705,0.374721734803662
moead,62,0.11333333333333351,0.09497761774027141,0.37585194263825716
moead,63,0.11333333333333351,0.09497940373520244,0.37881583258147045
moead,64,0.18632886486219413,0.09497856959167963,0.3855978812889379
moead,65,0.1915556178836636,0.09497856959167963,0.3855978812889379
moead,66,0.1981382646858651,0.09497410618615634,0.3882581224944277
moead,67,0.2047209114880666,0.09496607079077098,0.3958263896637571
moead,68,0.20664295867443647,0.09499107079077093,0.39607346453597625
moead,69,0.20664295867443647,0.09499821426020395,0.39614736483383567
moead,70,0.20250032582688693,0.09499732139030584,0.3961940846583203
moead,71,0.20674301535321657,0.09499642852040774,0.39621936010074565
moead,72,0.20489927290797294,0.09498565394580957,0.3963049570856564
moead,73,0.20707674916712662,0.09497666511100764,0.39632636681762284
moead,74,0.20810277712961,0.09495559133912343,0.3965052620259392
moead,75,0.20822986049766612,0.09491612107894981,0.3965198538676458
moead,76,0.2082333327777597,0.09492147852794364,0.3965431895344941
moead,77,0.20810277712961,0.09489231088902232,0.39652957573333747
moead,78,0.20816666666666708,0.0949086726404445,0.3965597157078085
moead,79,0.20831319383099944,0.09489993968560576,0.39664722189814317
moead,80,0.20832986105324014,0.09489993968560576,0.3966618054745362
nsga2,1,0.06891803820198258,0.03572485659479424,0.1741538371610353
nsga2,2,0.07446042424445376,0.04219247399223475,0.18266582830050943
nsga2,3,0.08481314494717793,0.05327569876764114,0.1885069686382398
nsga2,4,0.09003711327368716,0.057021345751382554,0.19291201521758877
nsga2,5,0.09341131461593755,0.059447103242683846,0.20058625357494558
nsga2,6,0.09672263191193403,0.05883748827623014,0.20873250033403928
nsga2,7,0.09751485065766147,0.05900959607542842,0.21050363330913338
nsga2,8,0.09447855787719911,0.0526254128096366,0.2361831510802592
nsga2,9,0.09242710282971103,0.051558108653161,0.2229287690621466
nsga2,10,0.08868044549597409,0.047837591458892895,0.2224046146418357
nsga2,11,0.07574996959309441,0.04034019445500708,0.20869345502172248
nsga2,12,0.07386415167908371,0.04030710529267528,0.19377554134900224
nsga2,13,0.07092697776352516,0.04018648898307037,0.1908106571995381
nsga2,14,0.07246992021640436,0.04194295124966013,0.16783341965069323
nsga2,15,0.07384814458766895,0.05101558213904056,0.1550992181087566
nsga2,16,0.07339798590528096,0.04399752068606321,0.1377485222191504
nsga2,17,0.07550226944578978,0.04598586904601294,0.13207522853135614
nsga2,18,0.07979247934914963,0.05078146042025233,0.16689369370950324
nsga2,19,0.08086212656215903,0.05645454692933811,0.17198160746499602
nsga2,20,0.08007535835947663,0.051034249850062906,0.1674146840051187
nsga2,21,0.080257281117904,0.05110663690823454,0.1623934032174275
